text,score
"RT @prashantjourno: दर्द को भी आधार से जोड़ दो साहेब
जिन्हें मिल गया हो .. उन्हें दुबारा न मिले !

( Courtesy @dipakdashTOI )
@anandprakash…",positive
"RT @anandprakash7: मेरे शेर जैसे दोस्तों को जन्म देने वाली माताओं और उन्हीं शेरों को बिल्ली बनाने वाली भाभियों को...
HAPPY WOMAN'S DAY
#wom…",positive
RT @anandprakash7: PM @narendramodi with @BJP4India MPs after attending BJP Parliamentary Party Meet. पीएम ने संसदीय दल की बैठक में 2019 की…,positive
"RT @poonam_mahajan: मुझे यकीन है अपने लफ्जो के हुनर पर,
कि लोग मेरा चेहरा भूला सकते है पर बाते नही...!!!
Happy birthday Baba ! https://t.co…",positive
"Pls. Read my story
सरकार सेंसर बोर्ड पर ही कैंची चलाने की तैयारी में
https://t.co/AjPX9xLlcl",positive
"""जो असली चौकीदार है उसको हम respect करता है। असली चौकीदार का थोड़ा ही इतना फ़ैशन होता है!!!"" 

Listen what #Bengal… https://t.co/2WOG2SDN9L",positive
"RT @aajtak: दिल्ली के 16,500 पेड़ो को बचाने के लिए, दिल्ली प्रदेश महिला कांग्रेस ने सरोजिनी नगर में किया 'Save the Trees’ कैमपेन। पेड़ों पर…",positive
"RT @mumbaitak: @SonyTV के नोटिस के बाद क्यों Comedian @iRajuSrivastava को लगा शॉक | Mumbai Tak

@SonyTV ने क्यों भेजा Comedian @iRajuSriv…",positive
"RT @mumbai_tak: सावधान!! अगर प्लास्टिक दिखा तो FINE मारेंगे ब्लू मार्शल

महाराष्ट्र में प्लास्टिक बैन के बाद लोगों में ये भी डर है कि कहीं…",positive
"RT @kamleshsutar: Best forward of the day :
""ठोकर लगने पर छोटो को 'माँ' याद आती है ,और बडो को 'मातोश्री' !!
#puns
#अमित_शाह #AmitShah #Sh…",positive
RT @journorajeshk: When you are sharing d stage with @Dev_Fadnavis tumhara koi kya bigad lega @Nawazuddin_S bhai..bahot khoob. #nawazuddins…,positive
"RT @Binnu_Sarraf: @chitraaum @aajtak अटारी बॉर्डर पर सबसे बेहतरीन कवरेज आपके द्वारा पूरा दिन देख रहा हूँ
Great job ma'am",positive
"RT @Binnu_Sarraf: @chitraaum @aajtak अटारी बॉर्डर पर सबसे बेहतरीन कवरेज आपके द्वारा पूरा दिन देख रहा हूँ
Great job ma'am",positive
"RT @Binnu_Sarraf: @chitraaum @aajtak अटारी बॉर्डर पर सबसे बेहतरीन कवरेज आपके द्वारा पूरा दिन देख रहा हूँ
Great job ma'am",positive
"#प्रेसकॉन्फ्रेंस में @ChouhanShivraj EXCLUSIVE- आज रात 8 बजे #PCwithChitra में

2019 में @narendramodi की जीत का… https://t.co/NhPyAt8qlW",positive
RT @awasthis: Pls do watch @abpnewstv for the #RepublicDay coverage with @chitraaum n me!! ज़रूर देखें गणतंत्र दिवस परेड की सबसे विस्तृत और…,positive
"⁦@abpnewshindi⁩ EXCLUSIVE

प्रियंका गांधी के कदम को 2019 से जोड़कर नहीं देखा जाना चाहिए

⁦@AmitShah⁩ ने ⁦… https://t.co/xolfmCczm6",positive
"शाम 7 बजे @abpnewshindi पर @ChouhanShivraj EXCLUSIVE-

सवर्णों ने MP हराया, 2019 में जीत दिलायेंगे।

@BJP4India के… https://t.co/tLejWyauoz",positive
Shukriya Mayank :) https://t.co/1vuCnivLkf,positive
@pushpakg @RDXThinksThat @manaman_chhina True! True! Kahani Ghar Ghar ki...,positive
@RDXThinksThat @manaman_chhina Ha! Ha! Ha! Kahani (Fauji) Ghar Ghar ki...😄😀,positive
"कुछ इतिहासकार राजा ललितादित्य की तुलना `Alexander the Great' से करते हैं, कुछ का मानना है कि वो तो उससे कहीं अधिक स… https://t.co/2zezJAPmpJ",positive
"RT @Binnu_Sarraf: @chitraaum @aajtak अटारी बॉर्डर पर सबसे बेहतरीन कवरेज आपके द्वारा पूरा दिन देख रहा हूँ
Great job ma'am",positive
"Who is d finance minister bdw, Mr. @arunjaitley or Mr. @PiyushGoyal ? Bachhe ko batana hai, badaa confusion hai bhai. #GST se bhi badaa",negative
"कल एक नेता जी अपने renal failure की बात कर रहे थे, यानि अनशन करने से किडनी फेल होने की। वैसे ऐसा होता नहीं होता डॉ… https://t.co/HUaQnTGig2",negative
RT @aajtak: कोरियन कम्पनी KIA ने भारतीय बाज़ार में दस्तक दे दी है. ऑटो एक्स्पो 2018 में KIA अपनी पहली कॉन्सेप्ट कार के लॉंच के साथ ही सुर्…,negative
RT @vinodkapri: अभी देखा।सुप्रीम कोर्ट के चार जजों को सरेआम BASTARDS कहने वाले इस सज्जन आलोक भट्ट को माननीय प्रधानमंत्री जी ट्विवटर पर फ़ॉ…,negative
#GujaratElections2017 गुजरात में चुनाव का ऐलान। 182 सीटों पर दो चरणों में चुनाव। पहले में 89 सीट और दूसरे में 93,negative
"पत्रकार की ख़बर से सहमत हों या असहमत। उसने अपने नाम से छापी, मतलब उसको own करता है। ख़बर की छीछालेदर कीजिए, character assassination गलत है।",negative
हो नहीं सकता कि एक राज्य में political killing के मायने अलग हों और दूसरे में अलग। नहीं कहना पहले राज्य  में आरोप सियासी थे #Gujarat #Kerala,negative
@riturishit_15 @DushyantNaagar @INCIndia @narendramodi @SushmaSwaraj @ManishTewari What's up no दीजिये। सुबूत देता… https://t.co/TAdgEXsh13,negative
@skyfighterraj11 @aajtak Fake news thi... Khabar chalane walo ne bhi withdraw kar li..,negative
"@Nidhi @RahulGandhi No mam... I was in that pc. Rahul Said- mee too बहुत ज्यादा संवेदनशील मामला है, मैं इस पर अपनी… https://t.co/B7QJIlJsZ7",negative
"RT @iGovindNarayan: Mr #VivekTiwari ‘s family was told he met with an accident. His wife Kalpana, “हमको विश्वास नही हुआ सर, जब जा कर car दे…",negative
"@shubhamamdhare @manakgupta @AMISHDEVGAN @Nidhi @sadhavi @abhisar_sharma Bhai, मैं propaganda में यकीन नहीं रखता। धन्यवाद",negative
"@kartikeya_1975 Akele akele, gupshup hamare sath, main course kisi aur ke sath... Netula bhabhi ho sath to no issue… https://t.co/EO6CM42HGL",negative
"@snehanshus @INCIndia No Sir, कांग्रेस हमेशा स सरकार का हिस्सा बनने वाली थी।",negative
"@Rajan_ptt Mere bhai, koi haare jeete. No issue. Lekin fake nhi hai",negative
"@priyankac19 Ye video mere friend journo ne kal rat 9.30 pm ahamdabad me shoot kiya hai.. ye fake nhi hai, par log… https://t.co/8GCEQeieVO",negative
@Tavleengiri @priyankac19 Ye ahmdabad ka kal rat 9.30pm ka video hai.. mere dost journo ne khud shoot kiya hai... H… https://t.co/ZBKvpIjMF9,negative
@nileshpatelm @JhaSanjay @OfficeOfRG @narendramodi @INCIndia @INCGujarat @aajtak @IndiaToday @BJP4India Agar fake ho to aap saza dena bhai,negative
@INCIndia @INCGujarat  Nikol Jan Sabha ke bad Patidar Yuvako ne kiya @OfficeOfRG ka paidar cap pehnakar swagat kiya https://t.co/R7QP86pDro,negative
@DrAMSinghvi पीएम और बीजेपी दोनों सीरियल abuser हैं। माफी मांगे बीजेपी @INCIndia https://t.co/Bst5O2CwxQ,negative
@AnkiitKoomar Aajkal sab aankhe hone ke bavjood prithviraj chauhan ban rhe hain..,negative
"@aajtak @OfficeOfRG @yadavakhilesh कुमार विक्रांत, जब ज़िंदा सलाउद्दीन को चुनाव आयोग ने करार दिया मुर्दा, shocking https://t.co/EsIjxhjI7z",negative
@aajtak 6 maheene bad garmi khatm ho jayegi.,negative
RT @loveenatandon: Tauba tauba 🤣 jab hire ho jaaye toh umeed hai tamatar ka jawaab atom bomb se dene ke liye - aapke drawing room mei dono…,negative
Tauba tauba 🤣 jab hire ho jaaye toh umeed hai tamatar ka jawaab atom bomb se dene ke liye - aapke drawing room mei… https://t.co/rveTJTwFgH,negative
"RT @CrimeTakBrand: आपसे झूठ बोल रही थी भारत सरकार ,WHO ने खोली भारत सरकार की सबसे बड़ी पोल| Crime Tak https://t.co/c4yUIAsUNx",negative
Suspended AAP MPs may join Yogendra Yadav's Swaraj Abhiyan http://t.co/Mzfnboalfe via @indiatoday,negative
"Who is d finance minister bdw, Mr. @arunjaitley or Mr. @PiyushGoyal ? Bachhe ko batana hai, badaa confusion hai bhai. #GST se bhi badaa",negative
"कल एक नेता जी अपने renal failure की बात कर रहे थे, यानि अनशन करने से किडनी फेल होने की। वैसे ऐसा होता नहीं होता डॉ… https://t.co/HUaQnTGig3",negative
RT @aajtak: कोरियन कम्पनी KIA ने भारतीय बाज़ार में दस्तक दे दी है. ऑटो एक्स्पो 2018 में KIA अपनी पहली कॉन्सेप्ट कार के लॉंच के साथ ही सुर्…,negative
"Who is d finance minister bdw, Mr. @arunjaitley or Mr. @PiyushGoyal ? Bachhe ko batana hai, badaa confusion hai bhai. #GST se bhi badaa",negative
"कल एक नेता जी अपने renal failure की बात कर रहे थे, यानि अनशन करने से किडनी फेल होने की। वैसे ऐसा होता नहीं होता डॉ… https://t.co/HUaQnTGig3",negative
"Who is d finance minister bdw, Mr. @arunjaitley or Mr. @PiyushGoyal ? Bachhe ko batana hai, badaa confusion hai bhai. #GST se bhi badaa",negative
"Who is d finance minister bdw, Mr. @arunjaitley or Mr. @PiyushGoyal ? Bachhe ko batana hai, badaa confusion hai bhai. #GST se bhi badaa",negative
"कल एक नेता जी अपने renal failure की बात कर रहे थे, यानि अनशन करने से किडनी फेल होने की। वैसे ऐसा होता नहीं होता डॉ… https://t.co/HUaQnTGig3",negative
RT @aajtak: कोरियन कम्पनी KIA ने भारतीय बाज़ार में दस्तक दे दी है. ऑटो एक्स्पो 2018 में KIA अपनी पहली कॉन्सेप्ट कार के लॉंच के साथ ही सुर्…,negative
RT @vinodkapri: अभी देखा।सुप्रीम कोर्ट के चार जजों को सरेआम BASTARDS कहने वाले इस सज्जन आलोक भट्ट को माननीय प्रधानमंत्री जी ट्विवटर पर फ़ॉ…,negative
