score,text
negative,"We know your love for Muslims !
Specially Uighur Muslims 

Charity begins at home 
First show your love for Indian occupied Kashmir !

What a shame
Use such a subject for cheap propaganda n politics"
neutral,"Mam We know your love for Muslims !
Specially Uighur Muslims 

Charity begins at home 
First show your love for Indian occupied Kashmir !

What a shame
Use such a subject for cheap propaganda n politics"
negative,This man didn't use our forces n asked Americans to interfere..such a incompetent pm..he is a black spot on indian politics..
negative,Nepotism is part of Indian psyche. Every parent wants to fix his ward into a something since the cut throat competition. It gets ugly when they try to step on other folks shoes and shoulders! Politics army law movies sports... Wake up people
positive,"Sushma Swaraj: Glorious Chapter In India And Indian Politics Comes To An End Leaving A Legacyhttps://vilabin.com/ar...
https://vilabin.com/article/sushma-swaraj-glorious-chapter-in-india-and-indian-politics-comes-to-an-end-leaving-a-legacy/?feed_id=325286&_unique_id=5f1b692d4934c …"
negative,his cherry picking effort is waste of time profile he refers live in illinois and an active event co-ordinator with orgs for the cause of #S386 .He can't force people to keep their profile all USA where genuinely we have rights for indian politics .he can use his peanut brain .
negative,Too wide to condense into a tweet and will need to add in some names in current Indian politics which may upset people from both sides of the spectrum. I may even be portrayed as biased. Dont want to get there. I suggest that you may research on ur own.
negative,"Now a our indian politics is just like salt and sugar no body konws what's going on. every political parties are blaming each other .most of the state is facing flood problem.we should have to find permanently  solution. @PMOIndia
@rsprasad"
positive,Oh no not at all. I am personally a right winger but I am cool with all alignments. Makes for great discussions. I am rather impressed because women around me usually stay away from Indian politics. So kudos to you.
negative, chicha you were in power between 2004-2014.... did you forgot to introduce the law? How come you forgot that resorts politics started by Digvijay Singh.
negative,The degeneration of Indian politics into a capture of power by the ruling regime. The BJP's need to destabilise state govts arises from a politics of erasing opposition. It is a process of asserting complete control over the national consciousness. https://twitter.com/IndianExpress/status/1286775483166650368 …
negative,"When did jingoism become healthy for an economy? 

India is going to bleed by a thousand cuts internal ones if we don't clean up the mess that is Indian politics"
negative,Left/Right wing Dichotomy is based on Western concepts and is not applicable to Indian ethos. Indic civilizations are based on Dharma (righteousness) vs Adharma (non-righteousness) - depending upon context. #left #right #politics
negative,"Development zarur hoga par gareebi bhi rakhni padegi. Election ke mudde bhi toh chahiye Janaab 
#Shanghai #EmraanHashmi #abhaydeol #IndianPolitics pic.twitter.com/AvPoDGXKFL"
negative,Recall Indian invasion in Nepali politics by Shyam saran. Now repent.
negative,"He LEGIT THINK TAJ MAHAL WAS A HINDU MANDIR 
If you have been keeping up with Indian politics u know what is about to go down"
negative,This is a Pakistani/Indian troll.She knows more about Indian/Pakistani  culture/politics which the westerner can never learn/understand.She just get paid for her tweets  and our job is to ignore.I even saw an Indian Phd Guy fkv001 doing this because he was making less $$ #Jealous
negative,Your hatred toward us #bramhan and #rajput will one day distroy name of congress from indian politics..Stop hating bramhans and rajputs. @RahulGandhi
negative,"&opening of schools was never about kids anyway too. It was to get the parents to work who'd otherwise want to stay at home to look after the kids"".It's all political this year&that frankly amuses me who till recently thought US politics is a model that Indian politics should be"
negative,"Thats how they justify everything..

Its like ‘solider on the border’ in Indian politics."
negative,Afuni's Knowledge Hub : Indian Politicians Do Religious Politics https://mhaafuni.blogspot.com/2020/07/indian-politicians-do-religious-politics.html?spref=tw …
negative,To be very honest! I am not from any politics party but  you can say i have more trust on Congress but unfortunately in current scenario I have never seen as weakest party or opposition party as Congress in Indian politics history.
negative,Thanks for finally calling it out . Indian media is nothing but lies ! https://twitter.com/SrBachchan/status/1286262110813478916 …
negative,Haha here u showed up is doing politics wat the govt said army did it becoz of political will power also not like when in 1962 war Indian air force wanted to fly but Nehru never gave permission Nd result India lost the war
negative,Nagma is a total nutcase rice bag convert & die-hard missionary like Jaya Sudha whose husband committed suicide unable to bear her craziness. Rahul Gandhi is a SKID mark on Indian politics.
negative,"Indian journalism&politics r becoming suffocating now. Don't know how people r breathing. Hope that peace&harmony is restored as it was earlier. 
As such COVID-19 taking toll on our lives. Can't c insensitive & heartless politicians&journalists  debating over irrelevant issues."
negative,Chameloen of Indian Politics
positive,Some Funny Moments From The Parliament | #NewsMo
positive,Music varsity to expand digital footprinthttp://www.blrtimes.com/music-varsity-to-expand-digital-footprint/12040/ …
neutral,Study- The New Indian Expresshttp://www.blrtimes.com/study-the-new-indian-express/12037/ …
positive,IoT-Based Meter Helps Bengaluru Residents Reduce Water Wastage http://upflow.co/l/Of8X pic.twitter.com/sy1IlLsyVa
negative,Karnataka reports over 24K Covid cases in 4 days Bengaluru worst hit https://goo.gl/fb/bhDnCu 
neutral,Senior Land Surveyor - Concorde Housing Corporation Pvt. Ltd - Bengaluru Karnataka https://goo.gl/fb/6yPUqR 
negative,50k shops in Bengaluru down shutters due to lack of business http://toi.in/sh4_zZ 
negative,Patient dead absconding or missing? Officials cluelesshttp://toi.in/EA9DBa 
neutral,Testing continues in market areas of Hubballi-Dharwadhttp://www.blrtimes.com/testing-continues-in-market-areas-of-hubballi-dharwad/12031/ …
negative,Corruption row: BJP sends legal notices to Siddaramaiah DKShttp://toi.in/Vq5uoZ66 
positive,Yoga centres in Mysuru set to reopen doors but practitioners waryhttp://toi.in/AzRnZZ35 
negative,Fearing test drive owners shutting shops and fleeing in Dharwadhttp://toi.in/e_o-Tb 
positive,Study finds Covid impacts mild recovered patients’ hearts toohttp://toi.in/n_vwVY16 
Positive,28 July 2020 - IPL 2020 Biggest Good NewsCPL 2020 Full ScheduleENG vs WI 3rd Test & 6 Big News
neutral,Can’t compare anyone in India with Ben Stokes at the moment: Gautam Gambhir – cricket https://news.eekpe.com/37738/cant-compare-anyone-in-india-with-ben-stokes-at-the-moment-gautam-gambhir-cricket/ …
neutral,@kanusabharwal  ye battel of lahore r battel of chawinda ko dunya battel nahi likhtay to kya cricket match likhte battel to pakistan fauj jeeti lahore b r sailkot b replused india army attack on both fronts push back india army to beyond their border dats
neutral,"Or for cricket. I watched a couple of India-Australia ODIs and nothing gives me more goosebumps than that atmosphere.

However the indian junta is very toxic towards all the players."
positive,"#OnThisDay in 1990

Graham Gooch crossed the batting average 40 for the first time in his career with the career-best score of 333 vs. India at the Lord's Ground.

He was averaging 37.93 before this game and he scored world record 456 runs in two innings in this match. pic.twitter.com/84hju8Oyf9"
neutral,"Let’s play a game. Guess who is moderating #cuechat this Tuesday 
Hints:
He talks about cricket
He comes from a place where there are cows...a lot of  
No he is not from India. Reply to win! @pgilders @KVoge71 @edcampOSjr @fel_ski @ProfeMsVgodinez @MsDeFriese @jcorippo"
negative,Cricket outside of England and India no one cares
neutral,Yep. Cricket silence when it comes to right wing authoritarianism such as what's happening in countries like India or Brazil right now
negative,Why India won't accept covid is spreading https://www.bbc.com/news/world-asia-india-53510307 …
negative,Yuvraj Singh Feels The BCCI Treated Very Unprofessionally Towards The End Of His Career Former Indian all-rounder Yuvraj Singh believes that the Board of Control for Cricket in India (BCCI) should have managed him a better way at the end of his interna... https://sportzwiki.com/cricket/yuvraj-singh-bcci-unprofessionally-career …pic.twitter.com/bwdjD8Rx9S
neutral,"How did Australia bottle this? 

#india #t20wc #throwback #cricket pic.twitter.com/Ytk3icEU4G"
positive,The one thing that worked in favor of Pakistan in their last tour to England was a couple of practice matches to get used to of these conditions (which was also a criticism against India). This time the whole Pandemic situation has given them even more practice
positive,I’ve seen England win a series in India thanks to KP at this best. Maybe India will find a safe way to host cricket but hard to see crowds being involved.
neutral,"Hahah it's funny. It's real people have a lot of confusion about geography of south asian countries. this one friend of mine from Canada asked me ""Is Sri Lanka a part of India?"" and i was like you don't watch cricket ?"
positive,"Never thought I'd say this but #IPL2020 will be the most effective Prozac for India this year. 
#Covid19 #Mentalhealth #IPL #cricket"
positive,Fans Allowed in English Cricket Match for 1st time since March News Updates | मार्च के बाद पहली बार फैन्स ने स्टेडियम में बैठकर मैच देखा रविवार को हुए फ्रैंडली मुकाबले में 1000 दर्शकों को एंट्री मिली https://7tvindianews.com/blog/2020/07/27/fans-allowed-in-english-cricket-match-for-1st-time-since-march-news-updates-%e0%a4%ae%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%9a-%e0%a4%95%e0%a5%87-%e0%a4%ac%e0%a4%be%e0%a4%a6-%e0%a4%aa%e0%a4%b9%e0%a4%b2/ …
positive,MS Dhoni should keep playing as long as he is fit and in form says Gautam Gambhir | Cricket News – Times of India https://dubaarnews.com/2020/07/25/ms-dhoni-should-keep-playing-as-long-as-he-is-fit-and-in-form-says-gautam-gambhir-cricket-news-times-of-india/ …
neutral,3rd Test: Stuart Broad sparks West Indies collapse on Day 2 in Manchester | Cricket News - Times of India - https://trendingatoz.com/?p=116513 pic.twitter.com/OMCFKrtssd
positive,MS Dhoni should keep playing as long as he is fit and in form says Gautam Gambhir | Cricket News – Times of India https://newsbunddle.com/ms-dhoni-should-keep-playing-as-long-as-he-is-fit-and-in-form-says-gautam-gambhir-cricket-news-times-of-india/ …
negative,Some people enter a game of mud-slinglike bulldozing the own house for TRP or personal vendetta.There are lot of issues needs more important seems like to distract the mindset of people. we all know people of India can easily be distracted by cricket Religion Bollywood
neutral,"Isko India se darr lagta hi

Issne cricket m india team ki maarjheli hi

He knows that India is Real Abbu of Riyasat e Madina"
positive,https://www.news.com.au/world/asia/china-india-border-tensions-what-caused-the-intense-rivalry/news-story/ab856d491e65d29d02b45db7846ee15e … Simple fact - Australians need to engage with India significantly more - its no just about curry commonwealth and cricket. The first C should be Commerce and the second Culture. We are both vibrant democracies open fair and transparent economies.
neutral,Maybe you could teach us cricket in return. Some guys from India play it in the school field across from my house every Sunday and I always stop and watch for a bit
neutral,"In an exclusive for @mpostdigital @chopraanjum talks about her early days transformation of women's cricket in India and more

READ: http://www.millenniumpost.in/sunday-post/game-on/training-accordingly-holds-key-413736?infinitescroll=1 …pic.twitter.com/0Hfpng0uTw"
positive,"Do you really watch test cricket? If you do then you wouldn't forget India whose fast bowlers are wreching havoc everywhere. They are even getting more wickets than slinnersnin the sub continent. 

Do enlighten yourself"
positive,Lol!! So True !! I came to know that there was a game called cricket in India after the Lagaan movie. Inspired by the movie Kapil Dev's team won the World Cup. Really thankful to Amir Khan that he has given so much to Indian cricket !!
neutral,Dreaming when we can play on the field again: Suresh Raina | Cricket News – Times of India https://dubaarnews.com/2020/07/25/dreaming-when-we-can-play-on-the-field-again-suresh-raina-cricket-news-times-of-india/ …
neutral,"Poonam Yadav outlines the challenges posed by the uncertainty surrounding India women's international fixtures 
#WomensCricket #Cricket #ESPNCaribbeanpic.twitter.com/gi94SoNojh"
neutral,Dreaming when we can play on the field again: Suresh Raina | Cricket News – Times of India https://newsbunddle.com/dreaming-when-we-can-play-on-the-field-again-suresh-raina-cricket-news-times-of-india/ …
positive,For me it was the phase of Natwest India/Australia (2001) 2003 WC all the way upto 2011 WC. THAT WAS A SPECIAL PHASE. It's when Indian cricket developed a killer instinct first with @SGanguly99 and then with MSD!
neutral,"Gud Morning @cricketaakash Bhai just woke after a watching a dream where we both quzing each other with cricket questions. Last question I asked was how many player make international debut when Australia toured India in 2004 for 4 match test series.
#Trivia #cricketlover"
neutral,ICC postpones two qualifying events due to COVID-19 pandemic | Cricket News – Times of India https://www.nncnews.info/index.php/2020/07/23/icc-postpones-two-qualifying-events-due-to-covid-19-pandemic-cricket-news-times-of-india/ …
neutral,Mohammad Amir tests negative for COVID-19 again cleared to join side in England | Cricket News – Times of India https://newsbunddle.com/mohammad-amir-tests-negative-for-covid-19-again-cleared-to-join-side-in-england-cricket-news-times-of-india/ …
neutral,IPL GC Agenda: Focus on SOPs broadcasters’ demand keeping UAE shift in mind | Cricket News – Times of India https://dubaarnews.com/2020/07/23/ipl-gc-agenda-focus-on-sops-broadcasters-demand-keeping-uae-shift-in-mind-cricket-news-times-of-india/ …
neutral,BRETT RATTEN (On his Ashes theme): We were coming up here for 5 games so we put an Ashes 5 test cricket theme to the trip but now it will be longer than that so we may need to mention a tour to India and Pakistan as well.
neutral,IPL set to start on September 19 final on November 8 teams to leave base by August 20: BCCI sources | Cricket News – Times of India https://newsbox9.com/ipl-set-to-start-on-september-19-final-on-november-8-teams-to-leave-base-by-august-20-bcci-sources-cricket-news-times-of-india/ …
positive,The guy in the crowd next to me boasting of how India had ‘smashed’ England and were the best team in the world. Without doubt one of the best finishes and come backs I have witnessed in cricket. https://twitter.com/englandcricket/status/1286209443299041280 …
neutral,IPL set to start on September 19 final on November 8 teams to leave base by August 20: BCCI sources | Cricket News - Times of India - https://trendingatoz.com/?p=115044 pic.twitter.com/asTuiylDR1
neutral,IPL set to start on September 19 final on November 8 teams to leave base by August 20: BCCI sources | Cricket News – Times of India https://toptrending2020.com/ipl-set-to-start-on-september-19-final-on-november-8-teams-to-leave-base-by-august-20-bcci-sources-cricket-news-times-of-india/ …
positive,Any Pakistan cricket match at a major tournament vs India https://twitter.com/SportsCenter/status/1285660674224463878 …
neutral,No evidence of match fixing in 1983 as Cricket was not remunerative enough 2 sustain a profitable gambling. Post ‘83 Cricket became a home-topic in India ushering in a host of economic activities by marketers and retailers. As interest in the game grew so was money & “fixing”
neutral,Certamente! Mas em compensação a Índia ainda é pouco explorada. Mas acho que neste caso é pelo fato do cricket ser gigante por lá. Na China não há um esporte coletivo com este porte tão popular é o futebol e o basquete logo atrás. Mas acho que poderiam explorar outros países tb.
positive,"F1 had racers from India South America and other countries.
People of these should be more interested but they have their own famous sports like cricket and football.
Most kids go for it.
I don't think anyone stopped Hamilton from becoming a 6 time champion."
neutral,3rd Test: James Anderson hoping to partner Stuart Broad in search of series win against West Indies | Cricket News – Times of India https://newsbunddle.com/3rd-test-james-anderson-hoping-to-partner-stuart-broad-in-search-of-series-win-against-west-indies-cricket-news-times-of-india/ …
positive,@reedhastings HiI am an  Indian n want to suggest you an idea to expand @NetflixIndia in India. Cricket is most popular sport here. If there is a section of Sports too on netflix which will have all imp cricket matchesbig innings by any player n slowly th
neutral,"I can't see anything wrong with itI think it's what you say around it that matters. 
As you say in cricket there's the 
Kiwis
Windies
Aussies
Pommies
Pakis & Indians or simply India.
And then the later teams which are all mentioned longhand EG: There's no Bangis for Bangladesh"
positive,Former India cricketer @cricketaakash  in his new video shared his views on why @RCBTweets  could potentially go onto do well in the UAE. #IPL2020 #RCB #AakashChopra #Cricket #Sports #SportsIndiaShowhttps://www.sportsindiashow.com/aakash-chopra-rcb-well-break-ipl-trophy-duck-uae/ …
positive,Not baseballs fault India has a billion+ in population. Seems to reason that more people will watch cricket.
neutral,"my 2nd video on my youtube channel of cricket.

BCI- BEST OF CRICKET INDIA
https://youtu.be/X2MtKYg5pAs "
